index,tDept,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,overall_rating
2122,Social Work,Mia,,Lavizzo,2255371,0,zero,N/A
2123,Communication,Mark,,Lavoie,1248527,9,good,4.8
2124,Communication,Nicole,,Lavoie,1528094,3,good,4.7
2125,Labor & Employment Relations,John,,Lawler,1419363,1,poor,2.0
2126,English,Lynee,,Lawson,1854407,2,good,4.8
2127,Aviation,Julia,,Laystrom-Woodard,2493256,1,good,4.0
2128,Religion,Richard,,Layton,240294,32,average,3.3
2129,Computer Science,Svetlana,,Lazebnik,1832200,7,average,2.8
2130,Engineering,James,,Leake,149869,57,average,2.6
2131,Engineering,Jim,,Leake,734032,10,poor,1.8
2132,Materials Engineering,Cecilia,,Leal,2628233,2,good,4.0
2133,Engineering,John,,Leap,1466252,1,average,3.0
2134,Kinesiology,Yvonne,,Learmonth,2067904,0,zero,N/A
2135,Mathematics,Jiri,,Lebl,1366448,3,average,2.8
2136,English,Georgepierre,,Lebron,892990,15,poor,2.2
2137,Engineering,Jean-Pierre,,Leburton,1692951,1,good,4.0
2138,Psychology,Michelle,,Leckey ,1976032,1,good,5.0
2139,Information Science,Jessica,,LeCrone,2287475,1,good,5.0
2140,Journalism,Stretch,,Ledford,2141708,2,good,5.0
2141,Engineering,Ki,,Lee,134133,2,poor,2.2
2142,Psychology,Yi-Ching,,Lee,932392,0,zero,N/A
2143,Mathematics,Jung-Jin,,Lee,1234387,3,good,5.0
2144,Urban & Regional Planning,Sang,,Lee,1249084,2,average,3.2
2145,Mechanical Engineering,Chia-Fon,,Lee,1251994,5,good,3.5
2146,English,Jean,,Lee,1365219,8,average,3.2
2147,Astronomy,John,,Lee,1408083,1,good,5.0
2148,Community Health Sciences,Tim,,Lee,1615850,3,good,5.0
2149,Special Education,Suzanne,,Lee,1666818,1,poor,1.5
2150,Communication,Chul-Joo,,Lee,1787489,3,good,4.3
2151,Engineering,Yu-Ching,,Lee,1880233,4,poor,2.4
2152,Economics,JiHyung,,Lee,2058767,6,good,3.8
2153,Anthropology,Alexander,,Lee,2172242,0,zero,N/A
2154,English,Sabrina,,Lee,2231819,2,good,4.0
2155,Philosophy,Seungil,,Lee,2299863,0,zero,N/A
2156,Psychology,Angela,,Lee,2354489,1,poor,2.0
2157,Sociology,Meggan,,Lee,2653522,1,poor,1.0
2158,Urban & Regional Planning,Bumsoo,,Lee,1657946,6,average,3.0
2159,Electrical & Computer Engineering,Minjoo,Lawrence,Lee,2663364,2,good,5.0
2160,Mechanical Engineering,Tonghun,,Lee,1901574,19,average,3.4
2161,Statistics,Kiryung ,,Lee ,1972541,5,good,4.0
2162,History,Mark,,Leff,297645,21,good,4.1
2163,Political Science,Carol,,Leff,546781,31,good,4.3
2164,History,Mike,,Lehman,845919,4,good,5.0
2165,Anthropology,Frederic,,Lehman,852159,7,poor,2.2
2166,English,Carl,,Lehnen,1440781,0,zero,N/A
2167,Landscape Architecture & Regional Planning,Rachel,,Leibowitz,1714830,0,zero,N/A
2168,Accounting,Justin,,Leiby,1660315,6,good,4.5
2169,Sociology,Kevin,,Leicht,2267514,8,poor,2.4
2170,Anthropology,Steve,,Leigh,206857,13,good,4.7
2171,Mathematics,Chris,,Leininger,788901,28,good,4.0
2172,Mathematics,Katelyn,,Leisman,2339248,2,good,4.5
2173,Engineering,Elizabeth,,Lemay,1709953,5,good,4.7
2174,Agricultural Economics,Craig,,Lemoine,2312397,10,good,4.5
2175,Languages,Jose,,Lemus,513723,4,good,4.9
2176,Mathematics,John,,Lenz,1469293,0,zero,N/A
2177,Psychology,Ariana,Castro,Leon,2572974,3,poor,2.0
2178,Classics,Daniel,,Leon Ruiz,2185872,6,good,4.3
2179,Mathematics,Eugene,,Lerman,795466,19,good,4.2
2180,Urban & Regional Planning,Benjamin,,LeRoy,2672692,1,good,4.0
2181,Psychology,Eric,,Leshikar,1018978,28,good,4.7
2182,Computer Science,Kirill,,Levchenko,2551807,7,good,5.0
2183,Chemistry,John,,Leveritt,2524430,16,good,4.6
2184,Biochem. & Molecular Biology,Lyne,,Levesque,1718203,27,poor,1.9
2185,Engineering,Deborah,,Levin,2017071,2,poor,1.8
2186,History,Bruce,,Levine,1010874,10,good,4.3
2187,Electrical & Computer Engineering,Stephen,,Levinson,2449184,0,zero,N/A
2188,Philosophy,Benjamin,A,Levinstein,2421639,1,good,5.0
2189,Business,Denise,,Lewin-Loyd,1904261,9,average,3.4
2190,Social Work,Tara,,Leytham-Powell,2443395,0,zero,N/A
2191,Mathematics,Huey-Li,,Li,1088827,2,poor,1.2
2192,Mathematics,Xiaochun,,Li,1164746,11,good,4.0
2193,TA,Zhenhua,,Li,1175565,0,zero,N/A
2194,Accounting,"Yue ""Laura""",,Li,1274912,8,poor,2.5
2195,Mathematics,LI,,LI,1353330,3,good,3.7
2196,Accounting,Wei,,LI,1448884,7,average,3.1
2197,Statistics,Bo,,Li,1840081,7,average,3.5
2198,Mathematics,Shu,,Li,2106179,16,poor,1.3
2199,Chinese,You,,Li,2237135,2,good,5.0
2200,Economics,Zening,,Li,2237601,1,poor,1.0
2201,Computer Science,Qi,,Li,2429283,0,zero,N/A
2202,Social Work,Hong,,Li,2452596,2,average,3.0
2203,Biology,Xin,,Li,2618948,1,average,3.0
2204,Accounting,Zhang,,LI,2650760,0,zero,N/A
2205,Statistics,Feng,,Liang,1579078,12,average,3.3
2206,Electrical & Comp. Engineering,Zhipei,,Liang,1781885,6,good,3.5
2207,Psychology,Nu-Chu,,Liang,1968192,10,good,4.0
2208,Business,Hongyuan,,Liang,2318033,0,zero,N/A
2209,Communication,Alice,,Liao,1232574,0,zero,N/A
2210,Social Work,Minli,,Liao,1753326,3,good,3.5
2211,Engineering,Daniel,M.,Liberzon,1753618,3,good,5.0
2212,Linguistics,Karen,,Lichtman,1589787,1,good,4.5
2213,Mathematics,Bernard,,Lidicky,1720824,2,good,4.0
2214,Mechanical Engineering,Leon,,Liebenberg,2257145,35,good,4.3
2215,English,Jennifer,,Lieberman,786366,6,good,4.8
2216,History,Harry,,Liebersohn,557537,20,good,3.6
2217,Business,Susan,,Liepert,2257076,0,zero,N/A
2218,Mathematics,Janna,,Lierl,2000864,5,good,3.8
2219,Electrical & Computer Engineering,Theodore,,Lietz,2663622,0,zero,N/A
2220,Special Education,Cheryl,,Light Shriner,1750765,10,poor,1.8
2221,Engineering,Brian,,Lilly,600932,10,good,4.7
2222,Psychology,Noriel,,Lim,1225867,5,good,3.8
2223,Business,Michael,,Lim,1446556,12,good,3.7
2224,Education,Youn Seon,,Lim,1673955,2,good,5.0
2225,Information Science,Jeff,,Limp,1861138,0,zero,N/A
2226,Music,Mei-Fang,,Lin,1158009,4,good,4.9
2227,Computer Science,Patrick,,Lin,2644659,4,good,3.8
2228,Anthropology,John,,Lindo,2013639,2,good,5.0
2229,Chemistry,Beth,A,Lindquist,1854434,4,average,2.8
2230,English,Mary,,Lindsey,1209159,21,good,4.7
2231,Social Work,Brenda,Coble,Lindsey,2326062,1,poor,1.0
2232,Communication,Matt,,Linick,1350134,3,good,4.0
2233,Statistics,Charles,,Linville,2401552,11,average,2.5
2234,Mathematics,Dan,,Lior,812968,7,average,2.9
2235,Crop Studies,Alex,,Lipka,2317603,6,good,3.5
2236,Accounting,Petro,,Lisowsky,1596547,6,good,4.7
2237,Physics,Tony,,Liss,194825,29,good,3.9
2238,Chemistry,Jim,,Lisy,1133356,5,average,3.1
2239,Engineering,Bruce,,Litchfield,1470192,0,zero,N/A
2240,Engineering,"J, Bruce",,Litchfield,1485421,0,zero,N/A
2241,English,Melissa,,Littlefield,1718364,7,good,5.0
2242,Mathematics,Chih-Chung,,Liu,1055021,2,good,4.2
2243,Statistics,Jeffrey,,Liu,1509254,3,good,3.8
2244,Engineering,Wen-Tso,,Liu,1623219,11,poor,1.5
2245,Economics,Zhiwei,,Liu,1661507,0,zero,N/A
2246,Geology,Lijun,,Liu,1945872,4,average,3.4
2247,Astronomy,Yuk Tung,,Liu,2015302,1,poor,1.5
2248,Business,Yunchuan Frank,,Liu,2289751,0,zero,N/A
2249,Astronomy,Xi,,Liu,2505575,1,good,5.0
2250,Engineering,Ji,,Liu,2208223,3,poor,1.7
2251,Computer Science,Hongye,,Liu,2527253,13,average,3.4
2252,Music,Kerrith,,Livengood,1968177,1,good,5.0
2253,Philosophy,Jonathan,,Livengood,1787156,9,good,4.7
2254,English,Julia,,Livingston,1292557,19,average,3.0
2255,Political Science,Avital,,Livny,2057953,19,good,4.1
2256,Psychology,Alejandro,,Lleras,1411689,4,average,3.3
2257,Chemistry,Nick,,Llewellyn,1467933,19,good,3.9
2258,Chemistry,Nicholas,,Llewelyn,1551207,1,good,4.0
2259,Anthropology,Adrienne,,LO,1444277,3,good,3.7
2260,Agricultural Economics,Alexander,C,Lo,2067139,0,zero,N/A
2261,Mathematics,Jason,,Lo,2102870,4,good,4.9
2262,Agricultural Economics,Alexis,,Lo,2530374,0,zero,N/A
2263,Agriculture,Alex,,Lo,745176,54,good,4.4
2264,Spanish,Miren,Anton,Lobato,2276528,1,good,4.0
2265,Mathematics,Peter,,Loeb,308394,21,poor,1.9
2266,Business,Jeffrey,,Loewenstein,1607276,11,good,4.5
2267,Engineering,Ryan,,Logsdon,345299,0,zero,N/A
2268,Mathematics,Jan,,Lommele,1644585,0,zero,N/A
2269,Geology,Ann,,Long,1328939,6,good,4.9
2270,Speech & Hearing Sciences,Lauren,,Long,1851318,3,poor,1.3
2271,Media amp Cinema Studies,Derek,R,Long,2336422,2,good,4.5
2272,Writing,Samantha,,Looker,1092760,2,good,4.0
2273,Astronomy,Leslie,,Looney,250005,29,good,4.6
2274,Animal Science,Juan,,Loor,1733343,5,poor,2.0
2275,Kinesiology,Citlali,,Lopez-Ortiz,2162579,0,zero,N/A
2276,Civil Engineering,Oscar,,Lopez-Pamies,2100408,5,average,2.5
2277,Physics,Virginia,,Lorenz,2226235,0,zero,N/A
2278,Mathematics,Heinrich,,Lotz,157383,18,poor,2.4
2279,Speech & Hearing Sciences,Torrey,,Loucks,1670011,10,poor,2.3
2280,English,Patricia,,Loughran,772038,42,good,4.0
2281,Engineering,Michael,,Loui,832793,14,good,3.7
2282,Business,Geoffery,,Love,209542,65,good,3.8
2283,Business,E. Geoffrey,,Love,2640634,1,average,3.0
2284,Agriculture,Sarah,Taylor,Lovell,2247818,0,zero,N/A
2285,American Studies,John,,Low,1408338,2,good,4.8
2286,Linguistics,Elizabeth,,Lowe,1929112,0,zero,N/A
2287,History,Mireya,,Loza,1787379,3,good,4.2
2288,English,Jennifer,,Lozano,1763648,1,average,2.5
2289,Psychology,Elizabeth,,Lozano,2263814,4,average,3.0
2290,Chemistry,YI,,LU,1556848,1,good,5.0
2291,Electrical & Computer Engineering,Yi,,Lu,2349507,2,good,3.5
2292,Bioengineering,Ting,,Lu,2654642,0,zero,N/A
2293,East Asian Studies,Qinglin,,Luan,2405122,0,zero,N/A
2294,Education,Sarah,,Lubienski,1689584,1,good,5.0
2295,Economics,Darren,,Lubotsky,536847,5,good,4.3
2296,Psychology,Sandra,,Lucas,865331,6,good,4.2
2297,Anthropology,Lisa,,Lucero,1092778,21,average,2.9
2298,Art & Design,Jorge,,Lucero,1803574,4,good,3.8
2299,Business,Elizabeth,,Luckman,2550895,4,good,4.8
2300,Music,Dean,,Luethi,1142324,0,zero,N/A
2301,Anthropology,Alejandro,,Lugo,263750,21,average,2.7
2302,Astronomy,Y ,,Lui,1947270,0,zero,N/A
2303,Communication,Kaylee,,Lukacena,1966241,3,good,3.7
2304,Psychology,Steven,,Luke,832687,27,good,4.7
2305,Accounting,Michael,,Lullo,2603565,0,zero,N/A
2306,Recreation Parks  Tourism,Clinton,,Lum,2187567,0,zero,N/A
2307,English,Coral,,Lumbley,2069682,2,good,4.3
2308,Engineering,Steve,,Lumetta,563531,28,average,3.5
2309,Physics,Morten,,Lundsgaard,1966413,12,average,3.2
2310,Geology,Craig,,Lundstrom,1548553,2,good,5.0
2311,Labor & Employment Relations,Catherine,,Lundy,1809590,1,average,2.5
2312,Information Science,Kathryn,,Luther Henderson,1861194,0,zero,N/A
2313,Chemistry,Zaida,,Luthey Schulten,873060,2,poor,1.5
2314,Graphic Arts,Jimmy,,Luu,1121584,6,average,3.3
2315,Mathematics,Martin,,Luu,2023339,1,average,3.0
2316,Electrical amp Comp. Engineering,Joseph,,Lyding,2486092,1,good,5.0
2317,Speech & Hearing Sciences,Lizzy,,Lydon,2533769,3,good,5.0
2318,Finance,Morgan,,Lynge,1528650,2,average,3.0
2319,History,John,,Lynn,122995,46,good,3.8
2320,Linguistics,Kate,Alexandra,Lyons,2171281,3,average,3.0
2321,Agricultural Economics,Angela,,Lyons,1890614,11,average,2.7
2322,Psychology,Mikhail,,Lyubansky,869327,32,average,3.2
2323,Mathematics,Ping,,MA,1398937,6,good,3.6
2324,Mathematics,Xiaoguang,,Ma,1750473,6,good,4.0
2325,Bioengineering,Jian,,Ma,2017243,0,zero,N/A
2326,Materials Engineering,Robert,,Maass,2101259,2,good,4.2
2327,Advertising,Amanda,D.,Mabry-Flynn,2330570,2,good,5.0
2328,Spanish,Jonathan,,MacDonald,1560555,5,average,2.9
2329,Physics,Gregory,,MacDougall,2012469,22,average,2.5
2330,Education,Nancy,,Macgregor,2131295,3,poor,2.3
2331,Communication,Francis,,MacHungo,1228838,5,good,3.9
2332,English,Sean,,MacIntyre,1812719,5,average,3.3
2333,Mathematics,John,,MacKay,1169745,7,good,3.9
2334,English,John,,MacLean,2298341,3,poor,1.3
2335,Information Science,John,,MacMullen,1576050,1,good,5.0
2336,Communication,Chandler,,MacSwain,2642008,0,zero,N/A
2337,Physics,Vidya,,Madhavan,2246641,1,poor,1.0
2338,English,Michael,,Madonick,521199,17,good,4.8
2339,English,Aaron,,Madrigal,1147119,3,good,4.5
2340,Food Science,Jessica,,Madson,2050148,1,average,3.0
2341,Music,Gayle,,Magee,640475,11,good,3.6
2342,Music,Jeff,,Magee,1448395,2,good,4.8
2343,Economics,Paul,,Magelli,339468,28,average,3.3
2344,Engineering,Matt,,Magill,1529281,0,zero,N/A
2345,English,Vicki,,Mahaffey,1455606,17,good,3.7
2346,Philosophy,Patrick,,Maher,373872,8,poor,2.0
2347,Anthropology,Saul,,Mahir,875469,14,average,3.0
2348,Physics,Fahad,,Mahmood,2644183,4,good,4.8
2349,Business,Joseph T.,,Mahoney,1353197,6,average,3.3
2350,Kinesiology,Emily,,Mailey,1317444,1,good,4.0
2351,Accounting,Tracie,,Majors,1898735,3,good,4.5
2352,Mathematics,Kit Ho,,Mak,1501714,2,good,3.5
2353,Information Science,Bonnie,,Mak,1861221,3,poor,2.3
2354,Civil Engineering,Roman,,Makhnenko,2342614,2,average,3.0
2355,Physics,Naomi,,Makins,479648,52,good,4.6
2356,Communication,Shana,,Makos,2538282,0,zero,N/A
2357,Anthropology,Korinta,,Maldonado,2097471,5,average,2.7
2358,Writing,Sebastian,,Maldonado-Velez,2401709,0,zero,N/A
2359,Political Science,Farhad,,Malekafzali,616271,68,good,3.8
2360,Liberal Arts & Sciences,Theo,,Malekin,1899416,9,good,4.4
2361,Languages,Bjorn,,Malekin,2506888,0,zero,N/A
2362,Languages,Jeriel,,Malgares,1813928,0,zero,N/A
2363,Anthropology,Ripan,,Malhi,1930999,8,good,3.7
2364,Geology,Jackie,Wittmer,Malinowski,1943158,7,good,4.5
2365,Mathematics,Cary,,Malkiewich,1950801,6,good,4.6
2366,Mathematics,Anton,,Malkin,946968,6,average,2.9
2367,Foreign Languages,Laurence,,Mall,947957,6,good,4.2
2368,French,Laurence,,Mall,1936646,1,good,5.0
2369,Agricultural Economics,Mindy,,Mallory,1678293,7,good,4.0
2370,Biology,Carl,,Malmgren,1439474,4,poor,1.2
2371,Media amp Cinema Studies,Gabriel,,Malo,2361682,4,good,4.0
2372,Anthropology,Martin,,Manalansan,119530,49,good,4.1
2373,Engineering,Joanne,,Manaster,842060,8,good,4.4
2374,Music,Joseph,,Manfredo,894642,8,good,3.7
2375,Mathematics,Aldo,,Manfroi,529888,70,good,4.4
2376,Social Work,Tonya,,Manselle,1029705,7,good,4.9
2377,Finance,Matthew,,Marcinkowski,1208279,29,good,3.7
2378,Biology,Jonathon,,Marcot,1205576,28,average,3.2
2379,Economics,Diego,,Margot,1638961,2,good,4.8
2380,Classics,Emily,,Marillier,1747904,1,poor,1.0
2381,Architecture,Areli,,Marina,962172,11,average,2.5
2382,Computer Science,Darko,,Marinov,984270,8,good,3.8
2383,History,Sonia,,Mariscol,963897,0,zero,N/A
2384,Bioengineering,Marina,,Marjanovic,2523074,1,good,5.0
2385,Linguistics,Numa,,Markee,1168874,7,average,3.1
2386,English,Robert,,Markley,498534,18,good,3.9
2387,Engineering,Lavanya,,Marla,1836373,7,poor,1.6
2388,French,Daniel,,Maroun,1483180,14,good,5.0
2389,Business,Gregory,Alan,Marrs,1890545,1,poor,2.0
2390,Geology,Stephen,,Marshak,1266958,2,good,4.8
2391,Economics,Guillermo,,Marshal,2049388,0,zero,N/A
2392,Social Work,Jane,,Marshall,1155424,4,average,3.4
2393,Sociology,Anna-Maria,,Marshall,323882,24,good,3.5
2394,Biology,Amy,,Marshall-Colon,2049906,11,average,3.0
2395,Business,Andrea,,Martens,1317193,1,good,5.0
2396,Materials Engineering,Lane,,Martin,1585368,0,zero,N/A
2397,Journalism,Rich,,Martin,1926830,2,good,4.0
2398,Anthropology,Jeff,,Martin,2348049,1,average,3.0
2399,Accounting,Charles,,Martin Jr.,1698097,1,good,5.0
2400,Spanish,Lily,,Martinez,1230690,2,good,5.0
2401,Communication,Jermaine,,Martinez,1581934,5,good,4.2
2402,English,Michelle,M,Martinez,1817099,1,average,3.0
2403,Ethnic Studies,Shantel,,Martinez,2088738,0,zero,N/A
2404,Business,Candace,,Martinez,2324845,1,good,5.0
2405,Chemistry,Andino,,Martinez,1926592,61,average,2.9
2406,Mathematics,Jaime,Nicola,Martinez Robles,2049375,17,good,3.6
2407,Spanish,Pilar,,Martinez-Quiroga,1826503,9,good,4.9
2408,Statistics,Adam,T.,Martinsek,1970309,1,good,5.0
2409,Languages,Alyssa,,Martoccio,1640126,2,good,4.8
2410,Chemistry,Kelly,,Marville,1569137,160,average,2.8
2411,Botany,John,,Masiunas,783419,12,good,4.4
2412,Physics,Nadya,,Mason,991624,10,average,3.3
2413,Spanish,Sara,,Mason,1960282,1,average,3.0
2414,Geography,Erica,,Massey,2509336,2,good,4.0
2415,Liberal Arts & Sciences,Michael,,Masters,2455259,0,zero,N/A
2416,Civil Engineering,Arif,,Masud,1849573,2,poor,1.0
2417,History,Ralph,,Mathisen,1064864,29,good,4.3
2418,Languages,Jean-Philippe,,Mathy,1280678,6,poor,2.2
2419,Materials Engineering,Lane,,Matter,1585367,0,zero,N/A
2420,Social Work,Carol,,Mauck,2385998,1,good,5.0
2421,Religion,Alexander,,Mayer,1208811,20,average,2.8
2422,Information Science,Maren,,Mayer,1861139,0,zero,N/A
2423,Political Science,Andrea,,Mayer,2273409,0,zero,N/A
2424,Law,Jason,,Mazzone,2568133,0,zero,N/A
2425,Communication,Justin,,McAdara,2303553,1,good,5.0
2426,Human & Community Development,Brent,,McBride,1437218,2,good,4.8
2427,Psychology,Jason,,McCarley,1184458,4,good,4.4
2428,Chemistry,Elise,,McCarren,2295653,18,good,4.5
2429,Philosophy,T.,,McCarthy,146997,15,average,3.4
2430,Mathematics,Randy,,McCarthy,537576,49,good,3.9
2431,Communication,Robert,,McChesney,729653,41,average,3.4
2432,Finance,Lynne,,McChristian,2654767,1,good,5.0
2433,Community Health Sciences,Laura,,McCloskey,1536940,4,poor,1.4
2434,English,Rebecca,,McCloud,1873253,7,poor,1.1
2435,Information Science,Kevin,,McClure,1861239,0,zero,N/A
2436,Business,Marleen,,McCormick,1825702,1,good,5.0
2437,English,Julie,,McCormick,1490994,4,good,4.8
2438,Mathematics,Jason,,McCullough,1169740,0,zero,N/A
2439,Sociology,Monica,,McDermott,1807596,12,good,5.0
2440,Economics,Eric,,McDermott,2174673,40,average,3.2
2441,Art & Design,Deana,,McDonagh,2524851,0,zero,N/A
2442,Design,Deana,,McDonagh,902716,6,poor,1.9
2443,History,Cary ,,McDonald,2011273,0,zero,N/A
2444,Journalism,Jean,,McDonald,1130881,6,good,5.0
2445,Information Science,Jerome,,McDonough,1861222,0,zero,N/A
2446,Information Science,Kate,,McDowell,1861223,0,zero,N/A
2447,Women's Studies,Erik,,McDuffie,788440,10,good,4.2
2448,English,Kristi,,McDuffie,2108288,2,poor,1.0
2449,Engineering,Michael,,McFarland,1798736,1,good,4.5
2450,Science,Greg,,McFarquhar,707738,8,good,4.3
2451,Music,Timothy,,McGovern,1862718,3,good,4.2
2452,Communication,Mary,,McGrath,2142865,3,average,3.1
2453,English,Lee,,McGuire,1274383,17,good,4.3
2454,Communication,Paul,,McKean,1663739,10,good,3.6
2455,African-American Studies,Malaika,,McKee,1875992,7,average,3.4
2456,"Recreation, Parks, & Tourism",Erin,,McKenna,1684942,6,average,2.8
2457,Anthropology,Paul,,McKenzie-Jones,1844289,4,good,3.6
2458,Philosophy,Robert,,McKim,1755846,9,good,3.9
2459,Psychology,Geoffrey,,McKinley,1826416,4,poor,2.0
2460,Geography,Sara,,McLafferty,750280,13,good,4.3
2461,History,Megan,,McLaughlin,155022,24,average,2.8
2462,Social Work,Molly,,McLay,2191353,2,good,5.0
2463,Classics,Daniel,,McLean,2442096,3,good,3.7
2464,English,Heather,,McLeer,2110012,4,good,4.3
2465,Economics,Daniel,,McMillen,1383394,5,good,4.0
2466,Agricultural Economics,Paul,,McNamara,1660400,2,good,4.5
2467,English,Thomas,,McNamara,1687406,0,zero,N/A
2468,Accounting,Daniel,,McNamee,2645925,1,good,4.0
2469,Mathematics,Jennifer,,McNeilly,547814,42,good,4.1
2470,English,Erin,,McQuiston,892316,10,good,4.0
2471,East Asian Studies,Forrest,,McSweeney,2485995,14,poor,1.2
2472,English,Sara,,McWhorter,1425808,7,good,3.8
2473,Social Work,Katherine,,Meacham-Hensold,2642108,2,good,4.0
2474,Art & Design,Katie,,Meaney,1846361,1,good,4.0
2475,Art & Design,Ian,,Meares,2680662,0,zero,N/A
2476,Information Science,Karen,,Medina,436923,0,zero,N/A
2477,Geography,Kristina,,Medina,1186532,6,average,3.4
2478,Economics,Eduardo,,Medina Cortina,2516891,0,zero,N/A
2479,Music,Andrew,,Megill,1968183,2,good,5.0
2480,Marketing,Nezami,,Mehdi,2210879,4,good,4.0
2481,Biology,Bradley,,Mehrtens,381154,249,good,4.3
2482,Comparative Literature,Rini,,Mehta,900694,27,average,3.0
2483,Engineering,Prashant,,Mehta,1429298,4,average,3.1
2484,TA,Vishal,,Mehta,1795505,1,good,5.0
2485,Mechanical Engineering,Prashant,,Mehta,1928475,0,zero,N/A
2486,Computer Science,Ruta,,Mehta,2575487,0,zero,N/A
2487,Mathematics,Tao,,Mei,1081195,7,average,3.0
2488,Civil Engineering,Hadi,,Meidani,1926018,5,average,3.0
2489,Art & Design,Prita,,Meier,1796800,3,good,4.8
2490,Political Science,Maurice,,Meilleur,580599,16,good,3.6
2491,Science,Esmail,,Meisami,124044,26,good,4.6
2492,Community Health Sciences,Shannon,,Mejia,2656590,1,good,4.0
2493,Spanish,Mariselle,,Meléndez,934047,6,poor,2.1
2494,Writing,Erica,,Melko,1626516,4,good,4.1
2495,Philosophy,Arthur,,Melnick,498473,31,good,4.3
2496,Political Science,James,,Melton,844372,0,zero,N/A
2497,African-American Studies,Ruby,,Mendenhall,1285089,9,poor,2.4
2498,Spanish,O.,,Mendiola-Sanchez,958832,0,zero,N/A
2499,Accounting,Kimberly,,Mendoza,2380461,0,zero,N/A
2500,Engineering,Ling,J,Meng,1877622,1,poor,2.0
2501,English,Jessica,,Mercado,1720788,5,average,3.0
2502,Mechanical Engineering,Brian,,Mercer,2448949,6,good,5.0
2503,Mathematics,Sergiy,,Merenkov,524609,12,average,2.7
2504,Child & Family Studies,Chris,,Merli,1815930,0,zero,N/A
2505,Advertising,Shachar,,Meron,2125364,4,good,5.0
2506,English,Andrew,,Merrill,2040118,8,average,2.6
2507,Speech & Hearing Sciences,Ian,,Mertes,2447325,5,good,5.0
2508,Computer Science,José,,Meseguer,1880712,15,poor,2.4
2509,Political Science,Stephen,,Meserve,256779,0,zero,N/A
2510,English,Natalie,,Mesnard,1645673,7,good,4.1
2511,English,Natalie,,Mesner,2100828,1,good,5.0
2512,Music,Anthony,,Messina,2470075,2,good,4.0
2513,Physics,Jose,,Mestre,1430085,12,good,3.5
2514,Biology,William,,Metcalf ,2046315,2,good,5.0
2515,Fine Arts,Alan,,Mette,680181,16,good,4.4
2516,Journalism,Eric,,Meyer,208639,18,average,3.3
2517,African-American Studies,John,,Meyers,2633210,3,good,5.0
2518,Engineering,Sean,,Meyn,1572476,0,zero,N/A
2519,History,Mark,,Micale,301641,47,good,4.3
2520,Business,Steve,,Michael,452023,8,good,4.9
2521,Political Science,Lewkowicz,,Michael,500185,3,good,3.7
2522,Communication,Melanie,,Michael,2172157,5,average,3.4
2523,Mechanical Engineering,Eric,,Michael,2202792,0,zero,N/A
2524,English,Bruce,,Michelson,600737,9,good,4.3
2525,Art & Design,Courtnay,,Micots,1478875,7,poor,1.9
2526,Speech Communication,Sylvia,,Mikucki,1039485,5,average,2.9
2527,Computer Science,Kevin,,Milans,1131947,4,poor,1.4
2528,Recreation Parks amp Tourism,Liselle,,Milazzo,2302453,4,average,3.3
2529,Engineering,Olgica,,Milenkovic,1269896,4,good,4.1
2530,Electrical  Computer Engineering,Oligica,,Milenkovic,2011682,1,good,3.5
2531,Political Science,Kristina,,Miler,620992,10,good,4.2
2532,Mathematics,Joseph,,Miles,448556,27,good,4.2
2533,Engineering,Marina,,Miletic,1185900,6,good,3.6
2534,Mathematics,Isidora,,Milin,1440941,6,good,4.7
2535,Political Science,Joseph,,Miller,304974,10,average,2.9
2536,Chemistry,Jesse,,Miller,626272,7,poor,2.2
2537,Chemistry,Lynne,,Miller,776707,50,average,2.6
2538,Psychology,Sarah,,Miller,1086008,1,good,4.0
2539,Biology,C,,Miller,1178389,11,average,3.2
2540,Business,Douglas,,Miller,1664599,1,good,4.5
2541,Information Science,Nicole,,Miller,1861140,0,zero,N/A
2542,Chemistry,Shawn,,Miller,1948613,7,average,3.3
2543,Agricultural Economics,Theresa,Suzanne,Miller,2105902,0,zero,N/A
2544,Political Science,Benjamin,,Miller,2109541,14,good,4.0
2545,Electrical  Comp. Engineering,Andrew,,Miller,2182952,0,zero,N/A
2546,Agriculture,Heather,,Miller,2206667,14,average,2.9
2547,Psychology,Andrea,L,Miller,2213668,3,good,5.0
2548,Mathematics,Alexander,Rossi,Miller,2233205,1,poor,1.0
2549,Animal Science,Gay,,Miller,2326280,1,poor,1.0
2550,Natural Resources,Daniel,C.,Miller,2478212,3,good,5.0
2551,Natural Resources,James,Robert,Miller,2538140,1,poor,1.0
2552,Animal Science,David,,Miller,2593788,1,good,5.0
2553,Electrical & Computer Engineering,Andrew,,Miller,2653161,1,good,4.0
2554,Theater,Thomas,,Miller,1784928,2,good,4.8
2555,Mathematics,Igor,,Mineyev,658829,37,poor,1.4
2556,Biology,Ray,,Ming,1276505,8,poor,2.1
2557,English,Matt,,Minicucci,1453752,6,good,4.1
2558,Electrical & Computer Engineering,Serge,,Minin,1800866,12,good,3.8
2559,Architecture,Barry,,Mink,1253007,4,average,3.0
2560,Geography,Michael,,Minn,1793474,9,average,2.8
2561,Architecture,Heather,,Minor,1122190,18,good,4.6
2562,Civil Engineering,Barbara,,Minsker,2154028,1,poor,1.0
2563,Biology,Richard,,Mintel,862689,11,good,4.6
2564,Urban & Regional Planning,Faranak,,Miraftab,1212176,19,good,3.6
